,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
27,20141201T000000,667000.0,3,1.0,1400,1581,1.5,0,0,5,8,1909,0,98112,47.6221,-122.314,1860,3861
28,20140624T000000,438000.0,3,1.75,1520,6380,1.0,0,0,3,7,1948,0,98115,47.695,-122.304,1520,6235
29,20150302T000000,719000.0,4,2.5,2570,7173,2.0,0,0,3,8,2005,0,98052,47.7073,-122.11,2630,6026
30,20141110T000000,580500.0,3,2.5,2320,3980,2.0,0,0,3,8,2003,0,98027,47.5391,-122.07,2580,3980
31,20141201T000000,280000.0,2,1.5,1190,1265,3.0,0,0,3,7,2005,0,98133,47.7274,-122.357,1390,1756
32,20140624T000000,687500.0,4,1.75,2330,5000,1.5,0,0,4,7,1929,0,98117,47.6823,-122.368,1460,5000
33,20141110T000000,535000.0,3,1.0,1090,3000,1.5,0,0,4,8,1929,0,98117,47.6889,-122.375,1570,5080
34,20141203T000000,322500.0,4,2.75,2060,6659,1.0,0,0,3,7,1981,0,98058,47.4276,-122.157,2020,8720
35,20140613T000000,696000.0,3,2.5,2300,3060,1.5,0,0,3,8,1930,2002,98115,47.6827,-122.31,1590,3264
36,20140528T000000,550000.0,4,1.0,1660,34848,1.0,0,0,1,5,1933,0,98052,47.6621,-122.132,2160,11467
37,20141230T000000,640000.0,4,2.0,2360,6000,2.0,0,0,4,8,1904,0,98107,47.6702,-122.362,1730,4700
38,20150213T000000,240000.0,4,1.0,1220,8075,1.0,0,0,2,7,1969,0,98001,47.3341,-122.282,1290,7800
39,20140620T000000,605000.0,4,2.5,2620,7553,2.0,0,0,3,8,1996,0,98056,47.5301,-122.18,2620,11884
40,20140715T000000,625000.0,4,2.5,2570,5520,2.0,0,0,3,9,2000,0,98074,47.6145,-122.027,2470,5669
41,20140811T000000,775000.0,4,2.25,4220,24186,1.0,0,0,3,8,1984,0,98166,47.445,-122.347,2410,30617
42,20140707T000000,861990.0,5,2.75,3595,5639,2.0,0,0,3,9,2014,0,98053,47.6848,-122.016,3625,5639
43,20141028T000000,685000.0,3,1.0,1570,2280,2.0,0,0,3,7,1922,0,98119,47.6413,-122.364,1580,2640
44,20140729T000000,309000.0,3,1.0,1280,9656,1.0,0,0,4,6,1959,0,98058,47.4485,-122.175,1340,8808
45,20140718T000000,488000.0,3,2.5,3160,13603,2.0,0,0,3,8,2003,0,98019,47.7443,-121.977,3050,9232
46,20150325T000000,210490.0,3,1.0,990,8528,1.0,0,0,3,6,1966,0,98023,47.3066,-122.371,1228,8840
47,20140716T000000,785000.0,4,2.5,2290,13416,2.0,0,0,4,9,1981,0,98007,47.6194,-122.151,2680,13685
48,20150428T000000,450000.0,3,1.75,1250,5963,1.0,0,0,4,7,1953,0,98115,47.6796,-122.301,970,5100
49,20150311T000000,1350000.0,3,2.5,2753,65005,1.0,1,2,5,9,1953,0,98070,47.4041,-122.451,2680,72513
50,20140916T000000,228000.0,3,1.0,1190,9199,1.0,0,0,3,7,1955,0,98148,47.4258,-122.322,1190,9364
51,20150217T000000,345000.0,5,2.5,3150,9134,1.0,0,0,4,8,1966,0,98056,47.4934,-122.189,1990,9133
52,20141231T000000,600000.0,3,1.75,1410,4080,1.0,0,0,4,7,1950,0,98117,47.6808,-122.384,1410,4080
53,20150205T000000,585000.0,2,1.75,1980,8550,1.0,0,0,3,7,1981,0,98117,47.6989,-122.369,1480,6738
54,20150303T000000,920000.0,5,2.25,2730,6000,1.5,0,0,3,8,1927,0,98105,47.6571,-122.281,2730,6000
55,20140512T000000,885000.0,4,2.5,2830,5000,2.0,0,0,3,9,1995,0,98105,47.6597,-122.29,1950,5000
56,20140819T000000,292500.0,4,2.5,2250,4495,2.0,0,0,3,7,2008,0,98042,47.3663,-122.114,2250,4500
57,20150407T000000,301000.0,3,2.5,2420,4750,2.0,0,0,3,8,2003,0,98042,47.3663,-122.122,2690,4750
58,20140827T000000,951000.0,5,3.25,3250,14342,2.0,0,4,4,8,1968,0,98008,47.588,-122.116,2960,11044
59,20150223T000000,430000.0,4,3.0,1850,9976,2.0,0,0,3,8,1991,0,98059,47.5059,-122.149,2270,8542
60,20141210T000000,650000.0,3,2.25,2150,21235,1.0,0,3,4,8,1959,0,98166,47.4336,-122.339,2570,18900
61,20140828T000000,289000.0,3,1.75,1260,8400,1.0,0,0,3,7,1954,0,98148,47.4366,-122.335,1290,8750
62,20141021T000000,505000.0,3,1.75,2519,8690,2.0,0,0,5,8,1973,0,98166,47.4428,-122.344,2500,9500
63,20141207T000000,549000.0,3,1.75,1540,1044,3.0,0,0,3,8,2014,0,98115,47.6765,-122.32,1580,3090
64,20140603T000000,425000.0,3,2.25,1660,6000,1.0,0,0,3,7,1979,0,98122,47.6113,-122.297,1440,4080
65,20141120T000000,317625.0,3,2.75,2770,3809,1.5,0,0,5,7,1925,0,98144,47.5747,-122.304,1440,4000
66,20140909T000000,975000.0,4,2.5,2720,11049,2.0,0,0,3,10,1989,0,98004,47.5815,-122.192,2750,11049
67,20141009T000000,287000.0,4,2.5,2240,4648,2.0,0,0,3,7,2005,0,98001,47.3378,-122.257,2221,4557
68,20140825T000000,204000.0,3,1.0,1000,12070,1.0,0,0,4,7,1968,0,98042,47.3621,-122.11,1010,12635
69,20140612T000000,1325000.0,5,2.25,3200,20158,1.0,0,0,3,8,1965,0,98004,47.6303,-122.215,3390,20158
70,20140912T000000,1040000.0,5,3.25,4770,50094,1.0,0,0,4,11,1973,0,98005,47.6525,-122.16,3530,38917
71,20150105T000000,325000.0,3,2.0,1260,5612,1.0,0,0,4,7,1972,0,98034,47.7362,-122.179,1640,4745
72,20140610T000000,571000.0,4,2.0,2750,7807,1.5,0,0,5,7,1916,0,98125,47.7168,-122.287,1510,7807
73,20140710T000000,360000.0,4,2.5,2380,5000,2.0,0,0,3,8,2005,0,98038,47.3608,-122.036,2420,5000
74,20150316T000000,349000.0,3,1.75,1790,50529,1.0,0,0,5,7,1965,0,98042,47.3511,-122.073,1940,50529
75,20141105T000000,832500.0,4,4.0,3430,35102,2.0,0,0,4,10,1986,0,98075,47.5822,-121.987,3240,35020
76,20141013T000000,380000.0,4,1.75,1760,7300,1.0,0,0,3,7,1956,0,98008,47.6034,-122.125,1680,7500
77,20150420T000000,480000.0,3,1.0,1040,5060,1.0,0,0,3,7,1941,0,98116,47.5636,-122.394,890,5060
78,20140609T000000,410000.0,3,1.0,1410,5060,1.0,0,0,4,7,1956,0,98133,47.7073,-122.34,1130,5693
79,20150323T000000,720000.0,4,2.5,3450,39683,2.0,0,0,3,10,2002,0,98010,47.342,-122.025,3350,39750
80,20141202T000000,390000.0,3,2.5,2350,5100,2.0,0,0,3,8,2003,0,98038,47.3512,-122.008,2350,5363
81,20141222T000000,360000.0,4,2.5,1900,5889,2.0,0,0,3,7,1992,0,98038,47.349,-122.031,1870,6405
82,20141028T000000,355000.0,2,1.0,2020,6720,1.0,0,0,3,7,1948,0,98118,47.5474,-122.291,1720,6720
83,20150128T000000,356000.0,3,1.5,1680,8712,1.0,0,0,3,8,1964,0,98059,47.4811,-122.149,1850,8797
84,20140602T000000,315000.0,3,1.0,960,6634,1.0,0,0,3,6,1952,0,98125,47.7264,-122.31,1570,7203
85,20141114T000000,940000.0,3,1.5,2140,3600,2.0,0,0,3,9,1925,0,98119,47.6337,-122.365,2020,4800
86,20141103T000000,305000.0,5,2.25,2660,8400,1.5,0,0,5,7,1961,0,98092,47.2909,-122.189,1590,8165
87,20140618T000000,461000.0,3,3.25,2770,6278,2.0,0,0,3,9,2006,0,98056,47.5228,-122.199,1900,7349
88,20140519T000000,215000.0,2,2.25,1610,2040,2.0,0,0,4,7,1979,0,98056,47.518,-122.194,1950,2025
89,20140904T000000,335000.0,2,1.75,1030,1066,2.0,0,0,3,7,2006,0,98136,47.5394,-122.387,1030,1106
90,20140522T000000,243500.0,4,2.5,1980,7403,2.0,0,0,3,7,1988,0,98023,47.2897,-122.372,1980,7510
91,20150311T000000,1099880.0,5,2.75,3520,6353,2.0,0,0,4,10,2001,0,98199,47.6506,-122.391,2520,6250
92,20150226T000000,153000.0,3,1.0,1200,10500,1.0,0,0,3,7,1962,0,98023,47.322,-122.351,1350,10500
93,20140725T000000,430000.0,3,1.5,1580,5000,1.0,0,0,3,8,1939,0,98117,47.687,-122.386,1570,4500
94,20141223T000000,700000.0,3,1.5,1580,5000,1.0,0,0,3,8,1939,0,98117,47.687,-122.386,1570,4500
95,20140908T000000,905000.0,4,2.5,3300,10250,1.0,0,0,3,7,1946,1991,98040,47.5873,-122.249,1950,6045
96,20150330T000000,247500.0,3,1.75,1960,15681,1.0,0,0,3,7,1967,0,98032,47.3576,-122.277,1750,15616
97,20140912T000000,199000.0,4,1.5,1160,6400,1.0,0,0,4,7,1975,0,98023,47.3036,-122.378,1160,6400
98,20140711T000000,314000.0,3,1.75,1810,41800,1.0,0,0,5,7,1980,0,98038,47.4109,-121.958,1650,135036
99,20140516T000000,437500.0,3,2.5,2320,36847,2.0,0,2,3,9,1992,0,98045,47.4838,-121.714,2550,35065
100,20140611T000000,850830.0,3,2.5,2070,13241,1.5,0,0,5,9,1910,0,98102,47.6415,-122.315,2200,4500
101,20141027T000000,555000.0,3,2.0,1980,3478,1.5,0,0,4,7,1929,0,98117,47.6775,-122.372,1610,3478
102,20141212T000000,699950.0,3,2.25,2190,107593,2.0,0,0,4,8,1983,0,98077,47.7731,-122.08,2570,47777
103,20141007T000000,1088000.0,3,2.5,2920,8113,2.0,0,0,3,8,1950,2010,98004,47.5814,-122.196,2370,8113
104,20140924T000000,290000.0,3,1.0,1210,33919,1.0,0,0,3,7,1954,0,98058,47.4375,-122.184,1640,14910
105,20150402T000000,375000.0,3,2.5,2340,10005,1.0,0,0,4,8,1978,0,98058,47.4431,-122.133,2250,8162
106,20140523T000000,460000.0,3,1.0,1670,4005,1.5,0,0,4,7,1939,0,98117,47.6878,-122.38,1240,4005
107,20140723T000000,188500.0,2,1.75,1240,2493,1.0,0,0,4,8,1985,0,98198,47.3813,-122.322,1270,4966
108,20150305T000000,680000.0,4,2.5,3140,28037,2.0,0,0,4,10,1991,0,98077,47.7304,-122.082,2990,35001
109,20140827T000000,470000.0,5,1.75,2030,12342,2.0,0,0,4,7,1942,0,98052,47.6417,-122.109,2500,9433
110,20140725T000000,597750.0,4,2.5,2310,9624,2.0,0,0,3,8,1984,0,98027,47.5386,-122.053,1940,9636
111,20150304T000000,570000.0,3,1.75,1260,3328,1.0,0,0,5,6,1905,0,98103,47.6823,-122.349,1380,3536
112,20140916T000000,272500.0,3,1.75,1540,12600,1.0,0,0,4,7,1980,0,98038,47.3624,-122.031,1540,11656
113,20141124T000000,329950.0,3,1.75,2080,5969,1.0,0,2,3,7,1971,0,98108,47.5474,-122.295,2090,5500
114,20141028T000000,480000.0,4,2.5,3230,16171,2.0,0,3,3,9,2001,0,98001,47.3183,-122.253,2640,8517
115,20141121T000000,740500.0,3,3.5,4380,6350,2.0,0,0,3,8,1900,1999,98117,47.6981,-122.368,1830,6350
116,20140626T000000,518500.0,3,3.5,1590,1102,3.0,0,0,3,8,2010,0,98103,47.6824,-122.347,1620,3166
117,20140623T000000,205425.0,2,1.0,880,6780,1.0,0,0,4,6,1945,0,98178,47.5009,-122.248,1190,6780
118,20150108T000000,171800.0,4,2.0,1570,9600,1.0,0,0,3,6,1950,0,98168,47.4965,-122.303,1880,9000
119,20150511T000000,535000.0,4,1.0,1610,2982,1.5,0,0,4,7,1925,0,98144,47.587,-122.294,1610,4040
120,20150102T000000,660000.0,3,2.5,2400,6474,1.0,0,2,3,8,1964,0,98177,47.7728,-122.386,2340,10856
121,20141119T000000,391500.0,3,2.0,1450,9132,1.0,0,0,3,7,1987,0,98034,47.7288,-122.226,1580,9104
122,20150406T000000,395000.0,2,1.0,770,6000,1.0,0,0,3,6,1953,0,98117,47.6999,-122.364,1710,6000
123,20141104T000000,445000.0,4,1.75,2100,4400,1.5,0,0,5,7,1924,0,98118,47.5299,-122.266,1850,4400
124,20140618T000000,770000.0,3,2.25,2910,10204,2.0,0,0,3,9,1990,0,98052,47.6897,-122.098,2700,13992
125,20150302T000000,1450000.0,4,2.75,2750,17789,1.5,0,0,3,8,1914,1992,98004,47.6141,-122.212,3060,11275
126,20140717T000000,445000.0,3,2.25,2100,8201,1.0,0,2,3,8,1967,0,98178,47.5091,-122.244,2660,8712
127,20140717T000000,260000.0,4,2.25,2160,8811,1.0,0,0,3,8,1978,0,98023,47.3129,-122.39,2090,8400
128,20140613T000000,822500.0,5,3.5,2320,4960,2.0,0,0,5,7,1926,0,98103,47.6763,-122.352,1700,4960
129,20150406T000000,430000.0,4,2.5,2070,4310,2.0,0,0,3,7,2004,0,98065,47.5319,-121.85,1970,3748
130,20150105T000000,212000.0,3,1.75,1060,7875,1.0,0,0,4,7,1986,0,98092,47.2761,-122.152,1420,7680
131,20150428T000000,660500.0,4,2.25,2010,9603,1.0,0,0,3,8,1986,0,98027,47.5343,-122.054,2060,9793
132,20140612T000000,784000.0,3,3.5,3950,111078,1.5,0,0,3,9,1989,0,98052,47.697,-122.072,2480,88500
133,20140512T000000,453246.0,3,2.5,2010,2287,2.0,0,0,3,8,2014,0,98029,47.5517,-121.998,1690,1662
134,20150126T000000,675000.0,4,3.5,2140,2278,3.0,0,0,3,9,2005,0,98107,47.6734,-122.38,1540,2285
135,20140813T000000,199000.0,3,1.75,1320,17390,1.0,0,0,4,7,1956,0,98003,47.3257,-122.296,1550,19265
136,20140805T000000,220000.0,4,1.75,2020,7840,1.0,0,0,3,7,1968,0,98003,47.3309,-122.299,1750,8140
137,20140529T000000,452000.0,4,2.25,2590,10002,1.0,0,0,4,8,1968,0,98028,47.7689,-122.266,1550,10436
138,20140707T000000,382500.0,2,1.0,1190,4440,1.0,0,0,3,6,1981,0,98125,47.7135,-122.287,1060,5715
139,20140507T000000,519950.0,3,2.25,1170,1249,3.0,0,0,3,8,2014,0,98107,47.6722,-122.381,1350,1310
140,20140627T000000,665000.0,2,1.0,1110,3200,1.0,0,0,3,7,1925,0,98119,47.6338,-122.358,1170,3600
141,20140708T000000,527700.0,5,2.5,2820,9375,1.0,0,0,4,8,1968,0,98006,47.5707,-122.128,2820,9375
142,20150508T000000,205000.0,3,1.0,1610,8579,1.0,0,0,4,7,1962,0,98058,47.4563,-122.171,1610,8579
143,20150415T000000,420000.0,3,1.0,1060,8097,1.0,0,0,4,7,1923,0,98133,47.7144,-122.351,1560,7940
144,20150227T000000,500000.0,4,2.25,2030,8517,1.0,0,0,4,8,1961,0,98006,47.5495,-122.174,2230,8824
145,20141203T000000,921500.0,4,2.5,3670,315374,2.0,0,0,4,9,1994,0,98077,47.7421,-122.026,2840,87991
146,20140625T000000,890000.0,4,1.0,2550,4000,2.0,0,0,3,8,1905,0,98109,47.6354,-122.353,2200,4000
147,20140806T000000,430000.0,2,2.5,2420,60984,2.0,0,0,3,7,2007,0,98027,47.5262,-121.943,1940,193842
148,20141030T000000,258000.0,5,2.0,2260,12500,1.0,0,0,4,8,1960,0,98032,47.3887,-122.286,1360,18000
149,20141104T000000,511000.0,3,1.0,1430,3455,1.0,0,0,3,7,1947,0,98103,47.6873,-122.336,1450,4599
150,20140820T000000,532170.0,3,2.0,1360,3090,2.0,0,0,3,8,1990,0,98103,47.6838,-122.353,1500,3090
151,20150409T000000,560000.0,3,1.0,1110,5000,1.5,0,0,3,7,1947,0,98107,47.655,-122.359,1420,5000
152,20150331T000000,282950.0,3,1.0,1250,8200,1.0,0,0,4,7,1954,0,98003,47.3255,-122.304,1680,8633
153,20150401T000000,2250000.0,4,3.25,5180,19850,2.0,0,3,3,12,2006,0,98006,47.562,-122.162,3160,9750
154,20140516T000000,350000.0,1,1.0,700,5100,1.0,0,0,3,7,1942,0,98115,47.679,-122.3,1010,5100
155,20140728T000000,215000.0,3,1.0,1180,7669,1.0,0,0,4,7,1967,0,98058,47.4479,-122.176,1190,7669
156,20141120T000000,650000.0,5,3.5,3960,25245,2.0,0,0,3,9,1996,0,98056,47.525,-122.172,2640,13675
157,20140807T000000,320000.0,4,2.75,2640,7500,1.0,0,0,3,8,1967,0,98023,47.3135,-122.369,1980,7875
158,20141113T000000,247000.0,3,2.0,1270,7198,1.5,0,0,3,7,1916,2013,98022,47.2086,-121.996,1160,7198
159,20141003T000000,320000.0,4,1.75,1760,11180,1.0,0,0,4,8,1968,0,98059,47.4715,-122.118,1730,11180
160,20140507T000000,255000.0,5,2.25,2060,8632,1.0,0,0,3,7,1962,0,98146,47.4877,-122.335,1010,11680
161,20150309T000000,438000.0,3,1.75,1780,9660,1.0,0,0,3,7,1962,0,98034,47.7171,-122.193,1200,9660
162,20150304T000000,900000.0,3,2.5,3400,16603,2.0,0,0,3,10,2000,0,98075,47.6012,-122.023,3400,12601
163,20140620T000000,441000.0,3,2.75,1910,7280,1.0,0,0,3,7,1979,0,98034,47.7319,-122.224,1710,8152
164,20140812T000000,420000.0,3,2.0,2020,38332,1.0,0,0,4,7,1975,0,98027,47.4582,-122.023,2110,36590
165,20141208T000000,370000.0,3,1.75,1580,7000,1.0,0,0,3,7,1976,0,98034,47.7209,-122.168,1640,7500
166,20150219T000000,269950.0,2,1.75,1340,7250,1.0,0,0,5,5,1949,0,98198,47.408,-122.327,1830,9750
167,20150324T000000,807100.0,4,2.5,2680,4499,2.0,0,0,3,9,1999,0,98006,47.565,-122.125,2920,4500
168,20140605T000000,653000.0,3,2.5,2680,9750,1.0,0,0,4,8,1979,0,98034,47.7028,-122.231,2480,8750
169,20140611T000000,371500.0,3,2.0,1370,8336,1.0,0,0,5,7,1964,0,98133,47.7458,-122.331,1770,7288
170,20150316T000000,284000.0,3,1.75,1560,21000,1.0,0,0,3,7,1954,0,98166,47.4776,-122.337,1070,7920
171,20150102T000000,272000.0,3,1.75,2160,7140,1.0,0,0,4,7,1978,0,98023,47.3026,-122.374,1930,7350
172,20140502T000000,313000.0,3,1.5,1340,7912,1.5,0,0,3,7,1955,0,98133,47.7658,-122.339,1480,7940
173,20150116T000000,917500.0,4,2.5,3880,35003,2.0,0,0,3,10,1984,0,98033,47.6477,-122.182,3740,35230
174,20140929T000000,673000.0,4,2.25,2590,8190,2.0,0,0,4,8,1980,0,98006,47.5619,-122.125,2260,8335
175,20150210T000000,425000.0,3,2.5,1120,1100,2.0,0,0,3,8,2008,0,98122,47.6106,-122.31,1590,1795
176,20140709T000000,399950.0,5,2.75,1970,5400,1.0,0,0,3,7,1986,0,98144,47.5868,-122.308,1280,2150
177,20140530T000000,385000.0,3,1.0,1220,4800,1.0,0,0,3,6,1901,0,98122,47.6101,-122.307,1200,4800
178,20141117T000000,269950.0,3,1.5,1950,7560,1.0,0,2,4,7,1975,0,98022,47.1976,-121.999,1950,8941
179,20150107T000000,330000.0,2,1.0,1350,8220,1.0,0,0,3,7,1949,0,98177,47.7224,-122.358,1540,8280
180,20140725T000000,260000.0,3,2.5,1670,5797,2.0,0,0,3,7,1988,0,98030,47.3505,-122.179,1670,6183
181,20150414T000000,470000.0,4,3.0,2380,5125,1.5,0,0,4,7,1925,0,98126,47.5384,-122.376,1410,5375
182,20140613T000000,589000.0,4,3.0,2440,9600,2.0,0,0,5,7,1961,0,98034,47.7044,-122.2,2290,9600
183,20140723T000000,163500.0,2,1.5,1050,3419,2.0,0,0,3,7,1996,0,98038,47.3848,-122.039,1050,3417
184,20140905T000000,835000.0,4,2.75,3130,13412,2.0,0,0,3,9,1993,0,98052,47.6993,-122.102,2260,9984
185,20141121T000000,1095000.0,5,3.0,4090,12850,1.0,0,2,4,10,1986,0,98033,47.6627,-122.188,2540,10270
186,20150415T000000,269000.0,4,1.75,1490,10000,1.0,0,0,4,8,1969,0,98023,47.3099,-122.379,2190,8910
187,20140505T000000,560000.0,3,2.5,1900,8744,2.0,0,0,3,8,1987,0,98074,47.62,-122.043,2030,8744
188,20150418T000000,615000.0,4,1.0,1330,2400,1.5,0,0,4,6,1901,0,98103,47.65,-122.34,1330,4400
189,20141205T000000,585188.0,3,2.25,2230,10026,1.0,0,0,3,8,1975,0,98052,47.6647,-122.153,2230,9340
190,20140818T000000,305000.0,3,1.75,1650,9480,1.0,0,0,3,7,1977,0,98034,47.726,-122.191,1540,8400
191,20141105T000000,166950.0,3,1.0,1190,8820,1.0,0,0,3,6,1959,0,98058,47.4616,-122.184,1230,7980
192,20140912T000000,799000.0,3,2.5,2140,9897,1.0,0,0,4,8,1959,0,98040,47.5505,-122.219,2680,10083
193,20140625T000000,400000.0,3,2.5,2180,7508,1.0,0,0,4,7,1962,0,98133,47.7606,-122.336,1900,7818
194,20141201T000000,230000.0,3,1.0,1060,10228,1.0,0,0,3,7,1948,0,98155,47.7481,-122.3,1570,10228
195,20140515T000000,256883.0,3,2.5,1690,5025,2.0,0,0,3,8,2003,0,98023,47.2779,-122.347,2550,5001
196,20141111T000000,423000.0,4,2.0,1970,6480,1.5,0,0,5,7,1920,0,98108,47.5511,-122.312,1500,6480
197,20140723T000000,465000.0,3,2.5,2150,4084,2.0,0,0,3,8,2007,0,98126,47.5488,-122.372,1750,2385
198,20150113T000000,440000.0,3,2.5,1910,66211,2.0,0,0,3,7,1997,0,98024,47.5385,-121.911,2330,67268
199,20141014T000000,385000.0,3,1.75,1350,155073,1.0,0,0,4,7,1969,0,98038,47.4058,-121.994,1560,50965
200,20150311T000000,210000.0,3,1.0,860,11725,1.0,0,0,4,6,1943,0,98056,47.5093,-122.184,1300,9514
201,20141112T000000,297000.0,3,2.5,1940,14952,2.0,0,0,3,8,1994,0,98042,47.3777,-122.165,2030,10450
202,20140716T000000,470000.0,3,1.0,1010,5000,1.0,0,0,3,7,1952,0,98107,47.675,-122.394,1680,5000
203,20140804T000000,226500.0,3,1.5,1300,7370,1.0,0,0,4,7,1976,0,98023,47.3025,-122.37,1430,7500
204,20150303T000000,274250.0,3,1.0,910,8450,1.0,0,0,4,6,1962,0,98059,47.4787,-122.158,1400,8040
205,20140804T000000,840000.0,4,1.75,2480,11010,1.0,0,0,4,9,1966,0,98040,47.5378,-122.219,2770,10744
206,20140919T000000,677900.0,3,2.5,2440,4587,2.0,0,0,3,8,2010,0,98052,47.7073,-122.114,2750,4587
207,20150205T000000,425000.0,3,1.0,1010,5864,1.0,0,0,3,7,1915,0,98116,47.5733,-122.381,1290,5000
208,20141123T000000,180250.0,2,0.75,900,9600,1.0,0,0,3,6,1941,0,98166,47.4604,-122.339,1250,14280
209,20140717T000000,464000.0,6,3.0,2300,3404,2.0,0,0,3,7,1920,1994,98133,47.7067,-122.343,1560,1312
210,20150422T000000,320000.0,4,2.25,1550,7579,2.0,0,0,3,8,1993,0,98038,47.354,-122.047,1630,6397
211,20140717T000000,625504.0,3,2.25,1270,1566,2.0,0,0,3,8,2014,0,98105,47.6647,-122.284,1160,1327
212,20140515T000000,592500.0,4,2.5,2240,12032,1.0,0,0,3,9,1983,0,98074,47.6143,-122.017,2520,12368
213,20150114T000000,465000.0,3,2.5,2714,17936,2.0,0,0,3,9,2005,0,98001,47.3185,-122.275,2590,18386
214,20140527T000000,477000.0,4,2.75,1720,6270,2.0,0,0,3,8,1978,0,98118,47.5458,-122.268,2130,8700
215,20150115T000000,280000.0,2,1.0,850,16400,1.0,0,0,3,6,1923,0,98168,47.4889,-122.299,1100,14459
216,20150221T000000,1505000.0,5,3.0,3300,33474,1.0,0,3,3,9,1957,1991,98040,47.5673,-122.21,3836,20953
217,20140703T000000,445838.0,3,2.5,2250,5692,2.0,0,0,3,8,2000,0,98146,47.5133,-122.379,1320,5390
218,20140828T000000,1072000.0,2,2.25,3900,14864,1.0,0,3,3,8,1947,0,98144,47.5884,-122.291,2580,5184
219,20141023T000000,467000.0,2,1.5,1320,10800,1.0,0,0,4,8,1947,0,98177,47.7145,-122.367,2120,12040
220,20140822T000000,686000.0,4,2.5,2760,6440,2.0,0,0,3,10,1999,0,98075,47.5836,-122.026,3070,8127
221,20140605T000000,279950.0,3,2.0,1750,9750,1.0,0,0,3,7,1961,0,98198,47.398,-122.299,1900,10125
222,20140904T000000,527000.0,4,2.25,2330,19436,2.0,0,0,3,8,1987,0,98011,47.7663,-122.215,1910,10055
